date,ppi,ppi_pro_change
2005-01-04,106.0,0.010486177311725298
2005-01-05,106.0,0.010486177311725298
2005-01-06,106.0,0.010486177311725298
2005-01-07,106.0,0.010486177311725298
2005-01-08,106.0,0.010486177311725298
2005-01-09,106.0,0.010486177311725298
2005-01-10,106.0,0.010486177311725298
2005-01-11,106.0,0.010486177311725298
2005-01-12,106.0,0.010486177311725298
2005-01-13,106.0,0.010486177311725298
2005-01-14,106.0,0.010486177311725298
2005-01-15,106.0,0.010486177311725298
2005-01-16,106.0,0.010486177311725298
2005-01-17,106.0,0.010486177311725298
2005-01-18,106.0,0.010486177311725298
2005-01-19,106.0,0.010486177311725298
2005-01-20,106.0,0.010486177311725298
2005-01-21,106.0,0.010486177311725298
2005-01-22,106.0,0.010486177311725298
2005-01-23,106.0,0.010486177311725298
2005-01-24,106.0,0.010486177311725298
2005-01-25,106.0,0.010486177311725298
2005-01-26,106.0,0.010486177311725298
2005-01-27,106.0,0.010486177311725298
2005-01-28,106.0,0.010486177311725298
2005-01-29,106.0,0.010486177311725298
2005-01-30,106.0,0.010486177311725298
2005-01-31,106.0,0.010486177311725298
2005-02-01,106.6,0.005660377358490454
2005-02-02,106.6,0.005660377358490454
2005-02-03,106.6,0.005660377358490454
2005-02-04,106.6,0.005660377358490454
2005-02-05,106.6,0.005660377358490454
2005-02-06,106.6,0.005660377358490454
2005-02-07,106.6,0.005660377358490454
2005-02-08,106.6,0.005660377358490454
2005-02-09,106.6,0.005660377358490454
2005-02-10,106.6,0.005660377358490454
2005-02-11,106.6,0.005660377358490454
2005-02-12,106.6,0.005660377358490454
2005-02-13,106.6,0.005660377358490454
2005-02-14,106.6,0.005660377358490454
2005-02-15,106.6,0.005660377358490454
2005-02-16,106.6,0.005660377358490454
2005-02-17,106.6,0.005660377358490454
2005-02-18,106.6,0.005660377358490454
2005-02-19,106.6,0.005660377358490454
2005-02-20,106.6,0.005660377358490454
2005-02-21,106.6,0.005660377358490454
2005-02-22,106.6,0.005660377358490454
2005-02-23,106.6,0.005660377358490454
2005-02-24,106.6,0.005660377358490454
2005-02-25,106.6,0.005660377358490454
2005-02-26,106.6,0.005660377358490454
2005-02-27,106.6,0.005660377358490454
2005-02-28,106.6,0.005660377358490454
2005-03-01,107.0,0.0037523452157599557
2005-03-02,107.0,0.0037523452157599557
2005-03-03,107.0,0.0037523452157599557
2005-03-04,107.0,0.0037523452157599557
2005-03-05,107.0,0.0037523452157599557
2005-03-06,107.0,0.0037523452157599557
2005-03-07,107.0,0.0037523452157599557
2005-03-08,107.0,0.0037523452157599557
2005-03-09,107.0,0.0037523452157599557
2005-03-10,107.0,0.0037523452157599557
2005-03-11,107.0,0.0037523452157599557
2005-03-12,107.0,0.0037523452157599557
2005-03-13,107.0,0.0037523452157599557
2005-03-14,107.0,0.0037523452157599557
2005-03-15,107.0,0.0037523452157599557
2005-03-16,107.0,0.0037523452157599557
2005-03-17,107.0,0.0037523452157599557
2005-03-18,107.0,0.0037523452157599557
2005-03-19,107.0,0.0037523452157599557
2005-03-20,107.0,0.0037523452157599557
